Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
Stranger Things,Science fiction,Netflix,"July 15, 2016
","4 seasons, 34 episodes",42–150 min,Worldwide,Renewed for final season
The Crown,Historical drama,Netflix,"November 4, 2016
","5 seasons, 50 episodes",47–61 min,Worldwide,Renewed for final season
The Umbrella Academy,Superhero,Netflix,"February 15, 2019
","3 seasons, 30 episodes",40–60 min,Worldwide,Renewed for final season
Virgin River,Romantic drama,Netflix,"December 6, 2019
","4 seasons, 42 episodes",39–49 min,Worldwide,Renewed
The Witcher,Fantasy,Netflix,"December 20, 2019
","2 seasons, 16 episodes",47–67 min,Worldwide,Season 3 due to premiere in 2023
Outer Banks,Coming-of-age,Netflix,"April 15, 2020
","2 seasons, 20 episodes",42–61 min,Worldwide,Season 3 due to premiere in 2023
Sweet Magnolias,Romantic drama,Netflix,"May 19, 2020
","2 seasons, 20 episodes",43–54 min,Worldwide,Renewed
Blood & Water,Teen drama,Netflix,"May 20, 2020
","2 seasons, 13 episodes",43–53 min,Worldwide,"Season 3 due to premiere on November 25, 2022"
Warrior Nun,Fantasy,Netflix,"July 2, 2020
","2 seasons, 18 episodes",36–52 min,Worldwide,"Pending
"
Ratched,Psychological thriller,Netflix,"September 18, 2020
","1 season, 8 episodes",45–62 min,Worldwide,Renewed
Bridgerton,Historical,Netflix,"December 25, 2020
","2 seasons, 16 episodes",53–72 min,Worldwide,Renewed for seasons 3–4
Firefly Lane,Drama,Netflix,"February 3, 2021
","1 season, 10 episodes",47–53 min,Worldwide,"First part of final season due to premiere on December 2, 2022"
Ginny & Georgia,Coming-of-age,Netflix,"February 24, 2021
","1 season, 10 episodes",52–58 min,Worldwide,Renewed
Shadow and Bone,Fantasy drama,Netflix,"April 23, 2021
","1 season, 8 episodes",45–58 min,Worldwide,Season 2 due to premiere in 2023
Sweet Tooth,Fantasy drama,Netflix,"June 4, 2021
","1 season, 8 episodes",37–53 min,Worldwide,Renewed
Sex/Life,Drama,Netflix,"June 25, 2021
","1 season, 8 episodes",43–52 min,Worldwide,Renewed
Vikings: Valhalla,Historical drama,Netflix,"February 25, 2022
","1 season, 8 episodes",44–59 min,Worldwide,Season 2 due to premiere in 2023
Savage Beauty,Drama,Netflix,"May 12, 2022
","1 season, 6 episodes",43–54 min,Worldwide,"Pending
"
The Lincoln Lawyer,Legal thriller,Netflix,"May 13, 2022
","1 season, 10 episodes",45–55 min,Worldwide,Renewed
Country Queen,Drama,Netflix,"July 15, 2022
","1 season, 6 episodes",58–62 min,Worldwide,"Pending
"
Justice Served,Drama,Netflix,"July 29, 2022
","1 season, 6 episodes",38–44 min,Worldwide,"Pending
"
The Sandman,Fantasy,Netflix,"August 5, 2022
","1 season, 11 episodes",37–64 min,Worldwide,Renewed
Heartbreak High,Teen drama,Netflix,"September 14, 2022
","1 season, 8 episodes",45–51 min,Worldwide,Renewed
Monster,Crime drama,Netflix,"September 21, 2022
","1 season, 10 episodes",45–63 min,Worldwide,Renewed for seasons 2–3
The Midnight Club,Teen,Netflix,"October 7, 2022
","1 season, 10 episodes",48–58 min,Worldwide,"Pending
"
The Watcher,Horror,Netflix,"October 13, 2022
","1 season, 7 episodes",44–52 min,Worldwide,Renewed
Guillermo del Toro's Cabinet of Curiosities,Horror,Netflix,"October 25, 2022
","1 season, 8 episodes",38–64 min,Worldwide,"Pending
"
The Bastard Son & The Devil Himself,Fantasy,Netflix,"October 28, 2022
","1 season, 8 episodes",41–53 min,Worldwide,"Pending
"
1899,Epic,Netflix,"November 17, 2022","1 season, 8 episodes","TBA
",Worldwide,"Pending
"
Far from Home,Coming-of-age drama,Netflix,"December 16, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Recruit,Spy,Netflix,"December 16, 2022","1 season, 8 episodes","TBA
",Worldwide,"Pending
"
The Witcher: Blood Origin,Fantasy,Netflix,"December 25, 2022",4 episodes,"TBA
",Worldwide,"Miniseries
"
Lockwood & Co.,Supernatural,Netflix,"January 27, 2023","1 season, 8 episodes","TBA
",Worldwide,"Pending
"
Sex Education,Comedy drama,Netflix,"January 11, 2019
","3 seasons, 24 episodes",47–61 min,Worldwide,Renewed
Russian Doll,Comedy,Netflix,"February 1, 2019
","2 seasons, 15 episodes",25–33 min,Worldwide,"Pending
"
I Think You Should Leave with Tim Robinson,Sketch comedy,Netflix,"April 23, 2019
","2 seasons, 12 episodes",15–18 min,Worldwide,Renewed
Dead to Me,Black comedy,Netflix,"May 3, 2019
","2 seasons, 20 episodes",26–33 min,Worldwide,"Final season due to premiere on November 17, 2022"
Never Have I Ever,Coming-of-age,Netflix,"April 27, 2020
","3 seasons, 30 episodes",22–32 min,Worldwide,Renewed for final season
Emily in Paris,Comedy drama,Netflix,"October 2, 2020
","2 seasons, 20 episodes",24–38 min,Worldwide,"Season 3 due to premiere on December 21, 2022"
How to Ruin Christmas,Comedy,Netflix,"December 16, 2020
","2 seasons, 7 episodes",42–57 min,Worldwide,"Season 3 due to premiere on December 9, 2022"
The Upshaws,Sitcom,Netflix,"May 12, 2021
","2 seasons, 18 episodes",24–29 min,Worldwide,Season 2 ongoing
Hard Cell,Mockumentary,Netflix,"April 12, 2022
","1 season, 6 episodes",24–27 min,Worldwide,"Pending
"
The Pentaverate,Comedy,Netflix,"May 5, 2022
","1 season, 6 episodes",21–31 min,Worldwide,"Pending
"
God's Favorite Idiot,Workplace comedy,Netflix,"June 15, 2022
","1 season, 8 episodes",22–30 min,Worldwide,"Pending
"
Uncoupled,Comedy,Netflix,"July 29, 2022
","1 season, 8 episodes",27–31 min,Worldwide,"Pending
"
Chad and JT Go Deep,Comedy,Netflix,"August 23, 2022
","1 season, 6 episodes",19–22 min,Worldwide,"Pending
"
Mo,Comedy,Netflix,"August 24, 2022
","1 season, 8 episodes",21–31 min,Worldwide,"Pending
"
Blockbuster,Workplace comedy,Netflix,"November 3, 2022
","1 season, 10 episodes",25–28 min,Worldwide,"Pending
"
Wednesday,Horror comedy,Netflix,"November 23, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Last Bus,Science fiction,Netflix,"April 1, 2022
","1 season, 10 episodes",30–40 min,Worldwide,"Pending
"
Heartstopper,Teen drama,Netflix,"April 22, 2022
","1 season, 8 episodes",26–33 min,Worldwide,Renewed for seasons 2–3
Man vs. Bee,Comedy,Netflix,"June 24, 2022
","1 season, 9 episodes",10–19 min,Worldwide,"Pending
"
Gymnastics Academy: A Second Chance!,Family ,Netflix,"September 16, 2022
","1 season, 10 episodes",24–27 min,Worldwide,"Pending
"
Phantom Pups,Children's,Netflix,"September 30, 2022
","1 season, 10 episodes",21–28 min,Worldwide,"Pending
"
Waffles + Mochi,Cooking,Netflix,"October 17, 2022
","1 season, 6 episodes",20 min,Worldwide,"Pending
"
AlRawabi School for Girls,Drama,Netflix,"August 12, 2021
","1 season, 6 episodes",44–52 min,Worldwide,Renewed
Finding Ola,Comedy drama,Netflix,"February 3, 2022
","1 season, 6 episodes",46–55 min,Worldwide,Renewed
The Cage,Comedy drama,Netflix,"October 11, 2022
","1 season, 8 episodes",33–40 min,Worldwide,"Pending
"
Baby Fever,Romantic,Netflix,"June 8, 2022
","1 season, 6 episodes",27–33 min,Worldwide,"Pending
"
Copenhagen Cowboy,Drama,Netflix,"December 8, 2022","TBA
","TBA
",Worldwide,"Pending
"
Lupin,Mystery,Netflix,"January 8, 2021
","2 parts, 10 episodes",40–52 min,Worldwide,Renewed
Ganglands,Thriller,Netflix,"September 24, 2021
","1 season, 6 episodes",44–51 min,Worldwide,Renewed
Off the Hook,Comedy,Netflix,"September 1, 2022
","1 season, 6 episodes",31–35 min,Worldwide,"Pending
"
Represent,Comedy,Netflix,"January 20, 2023","TBA
","TBA
",Worldwide,"Pending
"
How to Sell Drugs Online (Fast),Dark comedy,Netflix,"May 31, 2019
","3 seasons, 18 episodes",24–36 min,Worldwide,Renewed
Barbarians,Historical drama,Netflix,"October 23, 2020
","2 seasons, 12 episodes",41–54 min,Worldwide,"Pending
"
King of Stonks,Comedy drama,Netflix,"July 6, 2022
","1 season, 6 episodes",45–49 min,Worldwide,"Pending
"
Kleo,Thriller,Netflix,"August 19, 2022
","1 season, 8 episodes",44–56 min,Worldwide,Renewed
The Empress,Historical drama,Netflix,"September 29, 2022
","1 season, 6 episodes",51–61 min,Worldwide,Renewed
Delhi Crime,Police procedural,Netflix,"March 22, 2019
","2 seasons, 12 episodes",36–64 min,Worldwide,"Pending
"
Jamtara – Sabka Number Ayega,Crime drama,Netflix,"January 10, 2020
","2 seasons, 18 episodes",23–54 min,Worldwide,"Pending
"
She,Crime drama,Netflix,"March 20, 2020
","2 seasons, 14 episodes",31–51 min,Worldwide,"Pending
"
Masaba Masaba,Drama,Netflix,"August 28, 2020
","2 seasons, 13 episodes",25–42 min,Worldwide,"Pending
"
Mismatched,Romantic comedy,Netflix,"November 20, 2020
","2 seasons, 14 episodes",29–42 min,Worldwide,"Pending
"
Yeh Kaali Kaali Ankhein,Romantic thriller,Netflix,"January 14, 2022
","1 season, 8 episodes",31–51 min,Worldwide,Renewed
Mai: A Mother's Rage,Crime thriller,Netflix,"April 15, 2022
","1 season, 6 episodes",42–54 min,Worldwide,"Pending
"
Khakee: The Bihar Chapter,Crime drama,Netflix,"November 25, 2022","TBA
","TBA
",Worldwide,"Pending
"
Framed! A Sicilian Murder Mystery,Comedy,Netflix,"January 1, 2022
","1 season, 6 episodes",26–35 min,Worldwide,Renewed
Di4ries,Coming-of-age,Netflix,"May 18, 2022
","1 season, 15 episodes",24–52 min,Worldwide,"Pending
"
Everything Calls for Salvation,Drama,Netflix,"October 14, 2022
","1 season, 7 episodes",42–49 min,Worldwide,"Pending
"
I Hate Christmas,Comedy,Netflix,"December 7, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Lying Life of Adults,Drama,Netflix,"January 4, 2023","1 season, 6 episodes","TBA
",Worldwide,"Pending
"
Alice in Borderland,Fantasy,Netflix,"December 10, 2020
","1 season, 8 episodes",41–52 min,Worldwide,"Season 2 due to premiere on December 22, 2022"
First Love,Romantic drama,Netflix,"November 24, 2022
","TBA
","TBA
",Worldwide,"Pending
"
Gudetama: An Eggcellent Adventure,Live action,Netflix,"December 13, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Makanai: Cooking for the Maiko House,Drama,Netflix,"January 12, 2023","1 season, 9 episodes","TBA
",Worldwide,"Pending
"
Sweet Home,Apocalyptic,Netflix,"December 18, 2020
","1 season, 10 episodes",44–59 min,Worldwide,Renewed for seasons 2–3
D.P.,Military,Netflix,"August 27, 2021
","1 season, 6 episodes",45–55 min,Worldwide,Renewed
Squid Game,Survival,Netflix,"September 17, 2021
","1 season, 9 episodes",32–63 min,Worldwide,Renewed
Hellbound,Supernatural drama,Netflix,"November 19, 2021
","1 season, 6 episodes",42–60 min,Worldwide,Renewed
All of Us Are Dead,Zombie apocalypse,Netflix,"January 28, 2022
","1 season, 12 episodes",53–71 min,Worldwide,Renewed
The Sound of Magic,Musical,Netflix,"May 6, 2022
","1 season, 6 episodes",62–77 min,Worldwide,"Pending
"
Money Heist: Korea – Joint Economic Area,Heist,Netflix,"June 24, 2022
","1 season, 6 episodes",63–78 min,Worldwide,"Part 2 due to premiere on December 9, 2022"
Remarriage & Desires,Melodrama,Netflix,"July 15, 2022
","1 season, 8 episodes",55–71 min,Worldwide,"Pending
"
A Model Family,Crime thriller,Netflix,"August 12, 2022
","1 season, 10 episodes",41–50 min,Worldwide,"Pending
"
Narco-Saints,Crime drama,Netflix,"September 9, 2022
","1 season, 6 episodes",51–68 min,Worldwide,"Pending
"
Glitch,Comedy thriller,Netflix,"October 7, 2022
","1 season, 10 episodes",42–66 min,Worldwide,"Pending
"
Somebody,Suspense thriller,Netflix,"November 18, 2022
","TBA
","TBA
",Worldwide,"Pending
"
The Glory,Drama,Netflix,"December 30, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Victims' Game,Thriller,Netflix,"April 30, 2020
","1 season, 8 episodes",62–67 min,Worldwide,Renewed
"Mom, Don't Do That!",Romantic,Netflix,"July 15, 2022
","1 season, 11 episodes",43–67 min,Worldwide,"Pending
"
Shards of Her,Suspense thriller,Netflix,"October 28, 2022
","1 season, 9 episodes",45–51 min,Worldwide,"Pending
"
Sexify,Comedy drama,Netflix,"April 28, 2021
","1 season, 8 episodes",37–51 min,Worldwide,Renewed
Queen,Drama,Netflix,"June 23, 2022
","1 season, 4 episodes",46–54 min,Worldwide,"Pending
"
Family Secrets,Comedy,Netflix,"August 31, 2022
","1 season, 8 episodes",41–52 min,Worldwide,"Pending
"
High Water,Drama,Netflix,"October 5, 2022
","1 season, 6 episodes",42–46 min,Worldwide,"Pending
"
The Green Glove Gang,Black comedy,Netflix,"October 19, 2022
","1 season, 8 episodes",28–35 min,Worldwide,"Pending
"
Dead End,Dark comedy,Netflix,"December 1, 2022","TBA
","TBA
",Worldwide,"Pending
"
Glitter,Drama,Netflix,"December 14, 2022","TBA
","TBA
",Worldwide,"Pending
"
Sintonia,Crime,Netflix,"August 9, 2019
","3 seasons, 18 episodes",37–55 min,Worldwide,Renewed
Brotherhood,Crime drama,Netflix,"October 25, 2019
","2 seasons, 14 episodes",45–57 min,Worldwide,"Pending
"
"Good Morning, Verônica",Crime drama,Netflix,"October 1, 2020
","2 seasons, 14 episodes",41–55 min,Worldwide,"Pending
"
Invisible City,Fantasy,Netflix,"February 5, 2021
","1 season, 7 episodes",31–40 min,Worldwide,Renewed
Back to 15,Comedy,Netflix,"February 25, 2022
","1 season, 6 episodes",35–44 min,Worldwide,Renewed
Smother-in-Law,Sitcom,Netflix,"April 13, 2022
","1 season, 10 episodes",23–26 min,Worldwide,Renewed
Unsuspicious,Comedy,Netflix,"August 17, 2022
","1 season, 9 episodes",26–34 min,Worldwide,"Pending
"
Only for Love,Musical,Netflix,"September 21, 2022
","1 season, 6 episodes",56–70 min,Worldwide,"Pending
"
Time Hustler,Comedy,Netflix,"December 25, 2022","TBA
","TBA
",Worldwide,"Pending
"
Elite,Crime,Netflix,"October 5, 2018
","5 seasons, 40 episodes",40–56 min,Worldwide,"Season 6 due to premiere on November 18, 2022"
Almost Happy,Comedy,Netflix,"May 1, 2020
","2 seasons, 18 episodes",21–35 min,Worldwide,"Pending
"
Valeria,Dramedy,Netflix,"May 8, 2020
","2 seasons, 16 episodes",37–46 min,Worldwide,Renewed for final season
Daughter from Another Mother,Comedy,Netflix,"January 20, 2021
","2 seasons, 17 episodes",34–44 min,Worldwide,Renewed
Sky Rojo,Action,Netflix,"March 19, 2021
","2 seasons, 16 episodes",22–40 min,Worldwide,"Final season due to premiere on January 13, 2023"
The War Next-door,Comedy,Netflix,"July 7, 2021
","2 seasons, 16 episodes",29–35 min,Worldwide,"Pending
"
The Kingdom,Crime drama,Netflix,"August 13, 2021
","1 season, 8 episodes",37–52 min,Worldwide,Renewed
Rebelde,Teen drama,Netflix,"January 5, 2022
","2 seasons, 16 episodes",32–48 min,Worldwide,"Pending
"
Secrets of Summer,Teen drama,Netflix,"February 16, 2022
","1 season, 11 episodes",23–37 min,Worldwide,Renewed
Heirs to the Land,Period drama,Netflix,"April 15, 2022
","1 season, 8 episodes",48–57 min,Worldwide,"Pending
"
The Marked Heart,Thriller,Netflix,"April 20, 2022
","1 season, 14 episodes",38–51 min,Worldwide,Renewed
Welcome to Eden,Science-fiction,Netflix,"May 6, 2022
","1 season, 8 episodes",36–46 min,Worldwide,Renewed
42 Days of Darkness,Crime thriller,Netflix,"May 11, 2022
","1 season, 6 episodes",40–59 min,Worldwide,"Pending
"
Intimacy,Drama,Netflix,"June 10, 2022
","1 season, 8 episodes",44–51 min,Worldwide,"Pending
"
The Longest Night,Crime drama,Netflix,"July 8, 2022
","1 season, 6 episodes",42–48 min,Worldwide,"Pending
"
Fanático,Drama,Netflix,"July 29, 2022
","1 season, 5 episodes",14–21 min,Worldwide,"Pending
"
High Heat,Drama,Netflix,"August 17, 2022
","1 season, 39 episodes",30–45 min,Worldwide,"Pending
"
The Girl in the Mirror,Supernatural drama,Netflix,"August 19, 2022
","1 season, 9 episodes",40–59 min,Worldwide,"Pending
"
You're Nothing Special,Comedy,Netflix,"September 2, 2022
","1 season, 6 episodes",33–38 min,Worldwide,"Pending
"
Santo,Thriller,Netflix,"September 16, 2022
","1 season, 6 episodes",42–49 min,Worldwide,"Pending
"
The Girls at the Back,Comedy drama,Netflix,"September 23, 2022
","1 season, 6 episodes",38–45 min,Worldwide,"Pending
"
The Fight for Justice: Paolo Guerrero,Biopic,Netflix,"October 5, 2022
","1 season, 6 episodes",38–50 min,Worldwide,"Pending
"
"Belascoarán, PI",Detective drama,Netflix,"October 12, 2022
","1 season, 3 episodes",71–81 min,Worldwide,"Pending
"
Holy Family,Drama,Netflix,"October 14, 2022
","1 season, 8 episodes",33–40 min,Worldwide,Renewed
If Only,Drama,Netflix,"October 28, 2022
","1 season, 8 episodes",31–37 min,Worldwide,"Pending
"
Smiley,Comedy,Netflix,"December 7, 2022","TBA
","TBA
",Worldwide,"Pending
"
The Most Beautiful Flower,Comedy,Netflix,"December 7, 2022","TBA
","TBA
",Worldwide,"Pending
"
Love & Anarchy,Romantic comedy,Netflix,"November 4, 2020
","2 seasons, 16 episodes",25–36 min,Worldwide,"Pending
"
Snabba Cash,Thriller,Netflix,"April 7, 2021
","2 seasons, 12 episodes",38–51 min,Worldwide,"Pending
"
Young Royals,Coming-of-age,Netflix,"July 1, 2021
","2 seasons, 12 episodes",40–50 min,Worldwide,"Pending
"
Hurts Like Hell,Sports drama,Netflix,"July 13, 2022
","1 season, 4 episodes",50 min,Worldwide,"Pending
"
School Tales The Series,Horror,Netflix,"August 10, 2022
","1 season, 8 episodes",45–50 min,Worldwide,"Pending
"
Fatma,Crime drama,Netflix,"April 27, 2021
","1 season, 6 episodes",39–47 min,Worldwide,Renewed
The Club,Period drama,Netflix,"November 5, 2021
","2 parts, 10 episodes",43–56 min,Worldwide,Renewed
Midnight at the Pera Palace,Drama,Netflix,"March 3, 2022
","1 season, 8 episodes",40–47 min,Worldwide,Renewed
Yakamoz S-245,Drama,Netflix,"April 20, 2022
","1 season, 7 episodes",40–53 min,Worldwide,"Pending
"
The Life and Movies of Erşan Kuneri,Sitcom,Netflix,"May 13, 2022
","1 season, 8 episodes",38–56 min,Worldwide,Renewed
As the Crow Flies,Drama,Netflix,"June 3, 2022
","1 season, 8 episodes",41–51 min,Worldwide,Renewed
Another Self,Drama,Netflix,"July 28, 2022
","1 season, 8 episodes",45–55 min,Worldwide,Renewed
Man on Pause,Comedy,Netflix,"October 7, 2022
","1 season, 6 episodes",42–46 min,Worldwide,"Pending
"
Hot Skull,Science fiction,Netflix,"December 2, 2022","TBA
","TBA
",Worldwide,"Pending
"
Black Mirror,Science fiction,Channel 4,"October 21, 2016
","3 seasons, 15 episodes",52–89 min,"English
",Renewed
Inside the World's Toughest Prisons,Docuseries,Channel 5,"July 6, 2018
","5 seasons, 19 episodes",43–54 min,"English
","Pending
"
Top Boy,Crime drama,Channel 4,"September 13, 2019
","2 seasons, 18 episodes",44–66 min,"English
",Renewed for final season
You,Psychological thriller,Lifetime,"December 26, 2019
","2 seasons, 20 episodes",44–58 min,"English
","Season 4 part 1 due to premiere on February 10, 2023"
Unsolved Mysteries,Docuseries,NBC,"July 1, 2020
","3 volumes, 21 episodes",36–54 min,"English
","Pending
"
Cobra Kai,Martial arts,YouTube Premium,"January 1, 2021
","3 seasons, 30 episodes",27–48 min,"English
","Pending
"
Blown Away,Reality,Makeful,"January 22, 2021
","2 seasons, 20 episodes",25–31 min,"English
","Pending
"
The Mire,Thriller,Showmax,"July 7, 2021
","1 season, 6 episodes",53–60 min,"Polish
",Renewed
Tiger & Bunny,Anime,Tokyo MX,"April 8, 2022
","1 season, 25 episodes",24–25 min,"Japanese
","Pending
"
The Mole,Reality competition,ABC,"October 7, 2022
","1 season, 10 episodes",34–47 min,"English
","Pending
"
Manifest,Supernatural,NBC,"November 4, 2022
","1 season, 20 episodes",42–49 min,"English
","Final season ongoing
"
Teletubbies,Preschool,BBC Two,"November 14, 2022
","1 season, 26 episodes",15 min,"English
",Renewed
Arcane,Animated,"November 6, 2021
","1 season, 9 episodes",39–44 min,"English
","All markets except China
",Renewed
Oggy and the Cockroaches: Next Generation,Animated,"July 28, 2022
","1 season, 13 episodes",43 min,"No spoken language
","All markets except France
","Pending
"
Diary of a Gigolo,Thriller,"September 7, 2022
","1 season, 10 episodes",43–54 min,"Spanish
","Selected territories
","Pending
"
The Nutty Boy,Animated,"October 12, 2022
","1 season, 9 episodes",10–13 min,"Portuguese
","Selected territories
","Pending
"
The Final Score,Drama,"November 2, 2022
","1 season, 6 episodes",43–58 min,"Spanish
","Selected territories
","Pending
"
